NombreTelefono,Audifonos,Bluetooth,GPS,Radio,Teclado,SIM,NFC,Lector Huella,Rec Facial,Tarjeta Memoria,Disponible,SO__Apple,SO__Motorola,SO__Otra marca,SO__Samsung,Con__No,Con__Otro,Con__USB Type-C,Con__microUSB,Con__miniUSB,Horas Bateria_NORM,Horas Llamada Bateria_NORM,Bateria mAh_NORM,Peso Gramos_NORM,Resolucion Pixeles Ancho_NORM,Resolucion Pixeles Alto_NORM,Resolucion PPI_NORM,Tamano Pulgadas_NORM,RAM GB_NORM,Memoria GB_NORM,CPU GHz_NORM,Vida Bateria_NORM,Procesadores_NORM,Alto_NORM,Ancho_NORM,Grueso_NORM,Camara MP_NORM,Num Camaras_NORM,Selfie MP_NORM,Num Selfie_NORM,Video Pixeles_NORM,Video FPS_NORM,Selfie Video Pixeles_NORM,Selfie Video FPS_NORM,Precio_NORM
Samsung Gear S3 frontier LTE,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.02801556420233463,0.0,0.021111111111111112,0.03121438834662835,0.09375,0.08333333333333333,0.3282172373081464,0.07065217391304349,0.0029296875,0.00146484375,0.08,0.0,0.2,0.10848791455874086,0.16233183856502242,0.17288135593220338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023076962426037018
Samsung Gear S3 frontier,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.02801556420233463,0.0,0.021111111111111112,0.03121438834662835,0.09375,0.08333333333333333,0.3282172373081464,0.07065217391304349,0.0029296875,0.00146484375,0.08,0.0,0.2,0.10848791455874086,0.16233183856502242,0.17288135593220338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01615365446744825
Samsung Gear S3 classic,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0.02801556420233463,0.0,0.021111111111111112,0.029232522419858298,0.09375,0.08333333333333333,0.3282172373081464,0.07065217391304349,0.0029296875,0.00146484375,0.08,0.0,0.2,0.10848791455874086,0.16233183856502242,0.17288135593220338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999693076911275
Motorola Moto Z Play,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.195,0.08175196947926473,0.28125,0.4444444444444444,0.4757969303423849,0.2989130434782609,0.01171875,0.0625,0.64,0.5376344086021505,0.8,0.34626194491287243,0.2699551569506726,0.09491525423728814,0.14814814814814814,0.2,0.10416666666666667,0.3333333333333333,0.5,0.015625,0.1318359375,0.25,0.016923154497044405
Lenovo Yoga Tab 3 Plus,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.1875,0.5166666666666667,0.3156121488381311,0.4166666666666667,0.5925925925925926,0.3530106257378985,0.5489130434782609,0.01171875,0.0625,0.512,0.0,0.8,0.0,0.0,0.0,0.12037037037037036,0.2,0.10416666666666667,0.3333333333333333,0.1318359375,0.015625,0.0,0.0,0.023076962426037018
Huawei nova plus,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.18555555555555556,0.07927463707080216,0.28125,0.4444444444444444,0.4734356552538371,0.2989130434782609,0.01171875,0.0625,0.64,0.42473118279569894,0.8,0.3361439010680158,0.2672645739910314,0.0983050847457627,0.14814814814814814,0.2,0.16666666666666666,0.3333333333333333,0.5,0.015625,0.1318359375,0.25,0.019230923816573996
Sony Xperia XZ,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.23346303501945526,0.1215625,0.16111111111111112,0.07977010355249467,0.28125,0.4444444444444444,0.500590318772137,0.28260869565217395,0.01171875,0.0625,0.3,0.3870967741935484,0.4,0.32321528948847666,0.2538116591928251,0.10847457627118644,0.21296296296296297,0.2,0.2708333333333333,0.3333333333333333,0.5,0.015625,0.1318359375,0.25,0.01769265452664056
Samsung Galaxy J7 Prime,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0.0,0.21875,0.18333333333333332,0.08274290244264976,0.28125,0.4444444444444444,0.4734356552538371,0.2989130434782609,0.01171875,0.03125,0.512,0.0,0.8,0.33558178752107926,0.2645739910313901,0.10508474576271186,0.12037037037037036,0.2,0.16666666666666666,0.3333333333333333,0.1318359375,0.015625,0.1318359375,0.25,0.01615365446744825
Huawei MediaPad M3 8.4,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.2833333333333333,0.16152207303175942,0.4166666666666667,0.5925925925925926,0.42384887839433294,0.4565217391304348,0.015625,0.0625,0.6559999999999999,0.0,0.8,0.47667228780213605,0.4385650224215246,0.0983050847457627,0.07407407407407407,0.2,0.16666666666666666,0.3333333333333333,0.1318359375,0.015625,0.1318359375,0.25,0.021538693136103584
Lenovo K6,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.16666666666666666,0.06936530743695189,0.28125,0.4444444444444444,0.5206611570247934,0.27173913043478265,0.0078125,0.03125,0.44799999999999995,0.0,0.8,0.31422147273749296,0.2484304932735426,0.10847457627118644,0.12037037037037036,0.2,0.16666666666666666,0.3333333333333333,0.1318359375,0.015625,0.1318359375,0.25,0.01538488520711097
