URL,NombreTelefono,Colores,ImagenTelefono,Marca,Disponible,Sistema Operativo,Almacenamiento,Tiene SIM,Bateria,Tiene Audifonos,Tiene Bluetooth,Cable Conexion,Camara,Camara Video,Tiene Lector Huella,Tiene Localizacion,Tiene Memoria Adicional,Tiene NFC,Tamanio,Precio Fabrica,Procesamiento,Tiene Radio,RAM,Reciente,Reconocimiento Rostro,Resolucion,Selfie,Selfie Video
https://www.gsmarena.com/huawei_mate_20_lite-9284.php,Huawei Mate 20 lite,"Sapphire Blue, Black, Platinum gold",https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-20-lite-r1.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/lg_q8_(2018)-9285.php,LG Q8 (2018),"Aurora Black, Moroccan Blue",https://fdn2.gsmarena.com/vv/bigpic/lg-q8-2018-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/oppo_f9_(f9_pro)-9286.php,Oppo F9 (F9 Pro),"Sunrise Red, Twilight Blue, Starry Purple, Jade Green",https://fdn2.gsmarena.com/vv/bigpic/oppo-f9.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/oppo_r17-9287.php,Oppo R17,"Radiant Mist, Ambient Blue, Neon Purple",https://fdn2.gsmarena.com/vv/bigpic/oppo-r17-.jpg,Otra marca,1,android,Alta,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,No,No,Mediano,Alto,Media,No,Alta,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/oppo_rx17_pro-9288.php,Oppo RX17 Pro,"Radiant Mist, Emerald Green",https://fdn2.gsmarena.com/vv/bigpic/oppo-r17-pro.jpg,Otra marca,1,android,Alta,Si,Media,No,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Mediano,Alto,Media,No,Alta,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/samsung_galaxy_watch-9289.php,Samsung Galaxy Watch,"Silver 46mm, Midnight Black 42mm, Rose Gold 42mm",https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch-.jpg,Samsung,1,tizen,Baja,No,Baja,No,Si,No,Baja,Baja,No,Si,No,Si,Chico,Medio,Media,No,Baja,Reciente,No,Media,Baja,Baja
https://www.gsmarena.com/palm_palm-9290.php,Palm Phone PVG100,"Gold, Titanium",https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg,Otra marca,1,android,Media,Si,Baja,No,Si,USB Type-C,Media,Baja,No,Si,No,No,Chico,Alto,Media,No,Media,Reciente,Si,Media,Media,Media
https://www.gsmarena.com/alcatel_7-9291.php,alcatel 7,Black,https://fdn2.gsmarena.com/vv/bigpic/alcatel-7-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/blackberry_key2_le-9292.php,BlackBerry KEY2 LE,"Slate, Champagne, Atomic",https://fdn2.gsmarena.com/vv/bigpic/blackberry-key2-le-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,Si,Chico,Alto,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/xiaomi_pocophone_f1-9293.php,Xiaomi Pocophone F1,"Graphite Black, Steel Blue, Rosso Red, Armored Edition with Kevlar",https://fdn2.gsmarena.com/vv/bigpic/xiaomi-pocophone-f1-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Alta,Si,Si,Si,No,Mediano,Alto,Media,Si,Alta,Reciente,Si,Media,Alta,Media
https://www.gsmarena.com/motorola_p30-9294.php,Motorola P30,"White, Black, Aurora (128/6 GB only)",https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-p30-r.jpg,Motorola,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Alta,Reciente,No,Media,Media,Media
https://www.gsmarena.com/xiaomi_mi_pad_4_plus-9295.php,Xiaomi Mi Pad 4 Plus,"Black, Rose Gold",https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mi-pad-4-plus.jpg,Otra marca,1,android,Media,Si,Alta,Si,Si,USB Type-C,Media,Mediana,No,Si,Si,No,Grande,Medio,Media,No,Media,Reciente,No,Media,Media,Baja
https://www.gsmarena.com/vivo_y83_pro-9296.php,vivo Y83 Pro,"Nebula Purple, Black, Gold",https://fdn2.gsmarena.com/vv/bigpic/vivo-y83-pro.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Baja
https://www.gsmarena.com/coolpad_mega_5a-9297.php,Coolpad Mega 5A,Gold,https://fdn2.gsmarena.com/vv/bigpic/coolpad-mega-5a-.jpg,Otra marca,1,android,Baja,Si,Baja,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Baja,Si,Media,Reciente,No,Media,Media,Baja
https://www.gsmarena.com/vivo_v11_(v11_pro)-9298.php,vivo V11 (V11 Pro),"Starry Night, Dazzling Gold, Nebula, Supernova Red",https://fdn2.gsmarena.com/vv/bigpic/vivo-v11-pro-2.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Alta,Reciente,No,Media,Alta,Media
https://www.gsmarena.com/realme_2-9299.php,Realme 2,"Diamond Black, Diamond Red, Diamond Blue",https://fdn2.gsmarena.com/vv/bigpic/oppo-realme-2-.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,microUSB,Media,Mediana,Si,Si,Si,No,Mediano,Medio,Media,Si,Media,Reciente,No,Media,Media,Media
https://www.gsmarena.com/lg_v40_thinq-9300.php,LG V40 ThinQ,"New Platinum Gray, Carmine Red, New Aurora Black, New Moroccan Blue",https://fdn2.gsmarena.com/vv/bigpic/lg-v40-carmine-red.jpg,Otra marca,1,android,Media,Si,Media,Si,Si,USB Type-C,Media,Alta,Si,Si,Si,Si,Mediano,Alto,Media,Si,Alta,Reciente,No,Media,Media,Media
